Hugo_Symbol	Entrez_Gene_Id	Patient_example_TD
LINC01409	105378580	1
FAM87B	400728	1
LINC01128	643837	1
LINC00115	79854	1
FAM41C	284593	1
TUBB8P11	388579	1
LINC02593	100130417	1
SAMD11	148398	1
NOC2L	26155	1
KLHL17	339451	1
PLEKHN1	84069	1
PERM1	84808	1
HES4	57801	1
ISG15	9636	1
AGRN	375790	1
RNF223	401934	1
C1orf159	54991	1
LINC01342	254099	1
MIR200B	406984	1
MIR200A	406983	1
MIR429	554210	1
TTLL10-AS1	100506376	1
TTLL10	254173	1
TNFRSF18	8784	1
TNFRSF4	7293	1
SDF4	51150	1
B3GALT6	126792	1
C1QTNF12	388581	1
UBE2J2	118424	1
LINC01786	101928895	1
SCNN1D	6339	1
ACAP3	116983	1
MIR6726	102465434	1
PUSL1	126789	1
INTS11	54973	1
MIR6727	102465435	1
CPTP	80772	1
TAS1R3	83756	1
DVL1	1855	1
MIR6808	102466740	1
MXRA8	54587	1
AURKAIP1	54998	1
NDUFB4P8	107075246	1
CCNL2	81669	1
MRPL20-AS1	148413	1
MRPL20	55052	1
RN7SL657P	107074708	1
ANKRD65	441869	1
TMEM88B	643965	1
LINC01770	102724312	1
VWA1	64856	1
ATAD3C	219293	1
ATAD3B	83858	1
ATAD3A	55210	1
TMEM240	339453	1
SSU72	29101	1
FNDC10	643988	1
MIB2	142678	1
MMP23B	8510	1
CDK11B	984	1
SLC35E2B	728661	1
MMP23A	8511	1
CDK11A	728642	1
SLC35E2A	9906	1
NADK	65220	1
GNB1	2782	1
CALML6	163688	1
TMEM52	339456	1
CFAP74	85452	1
GABRD	2563	1
PRKCZ	5590	1
PRKCZ-AS1	100506504	1
FAAP20	199990	1
SKI	6497	1
MORN1	79906	1
RER1	11079	1
PEX10	5192	1
PLCH2	9651	1
PANK4	55229	1
HES5	388585	1
TNFRSF14-AS1	115110	1
TNFRSF14	8764	1
PRXL2B	127281	1
MMEL1	79258	1
MMEL1-AS1	105378597	1
TTC34	100287898	1
ACTRT2	140625	1
PRDM16-DT	440556	1
PRDM16	63976	1
MIR4251	100422968	1
ARHGEF16	27237	1
MEGF6	1953	1
MIR551A	693135	1
TPRG1L	127262	1
WRAP73	49856	1
CLSTN1	22883	2
MZT1P1	106480302	2
CASZ1	54897	2
EBNA1BP2	10969	2
CFAP57	149465	2
SRGAP2B	647135	1
FAM72D	728833	1
LINC01145	103091866	1
RNU1-153P	115409985	1
PPIAL4D	645142	1
RNVU1-14	101954266	1
NBPF20	100288142	1
PFN1P3	200025	1
RNU1-154P	115409990	1
RNVU1-31	115482718	1
NBPF25P	101929780	1
GPR89A	653519	1
PDZK1	5174	1
CD160	11126	1
RNF115	27246	1
POLR3C	10623	1
NUDT17	200035	1
PIAS3	10401	1
MIR6736	102466191	1
